noun,wikipedia
botulism,Botulism is a rare and potentially fatal illness caused by a toxin produced by the bacterium Clostridium botulinum.
boudoir,"A boudoir (; French: [bu.dwaʁ]) is a woman's private sitting room or salon in a furnished residence, usually between the dining room and the bedroom, but can also refer to a woman's private bedroom."
bouffant,"A bouffant () is a type of puffy, rounded hairstyle characterized by hair raised high on the head and usually covering the ears or hanging down on the sides."
bougainvillea,"Bougainvillea ( BOO-gən-VIL-ee-ə, US also  BOH-) is a genus of thorny ornamental vines, bushes, and trees belonging to the four o' clock family, Nyctaginaceae."
bough,Bough is a surname.
bouillabaisse,"Bouillabaisse (French: [bu.ja.ˈbɛs]; Occitan: bolhabaissa, bullabessa [ˌbuʎaˈβajsɔ / ˌbujaˈbajsɔ]) is a traditional Provençal fish soup originating in the port city of Marseille."
boulder,"In geology, a boulder (or rarely bowlder) is a rock fragment with size greater than 25.6 centimetres (10.1 in) in diameter."
boulevard,"A boulevard is a type of broad avenue planted with rows of trees, or in parts of North America, any urban highway."
boulle,Boulle is a French surname.
bouncer,"A bouncer (also known as a door supervisor) is a type of security guard, employed at licensed or sanctioned venues such as bars, nightclubs, cabaret clubs, stripclubs, casinos, hotels, billiard halls, restaurants, sporting events, schools, concerts, balls or movie theaters."
bourgeoisie,"The bourgeoisie (  BOOR-zhwah-ZEE, French: [buʁʒwazi] ) is a class of business owners and merchants which emerged in the Late Middle Ages, originally as a ""middle class"" between peasantry and aristocracy."
bourn,"Bourn is a small village and civil parish in South Cambridgeshire, England."
boustrophedon,"Boustrophedon   is a style of writing in which alternate lines of writing are reversed, with letters also written in reverse, mirror-style."
boutique,A boutique (French: [butik]) is a retail shop that deals in high end fashionable clothing or accessories.
bowerbird,Bowerbirds () make up the bird family Ptilonorhynchidae.
bowfin,"The bowfin (Amia calva) is a bony fish, native to North America."
bowing,Bowing (also called stooping) is the act of lowering the torso and head as a social gesture in direction to another person or symbol.
bowl,"A bowl is a typically round dish or container generally used for preparing, serving, storing, or consuming food."
bowline,The bowline ( or ) is an ancient and simple knot used to form a fixed loop at the end of a rope.
bowling,Bowling is a target sport and recreational activity in which a player rolls a ball toward pins (in pin bowling) or another target (in target bowling).
bowls,"Bowls, also known as lawn bowls or lawn bowling, is a sport in which the objective is to roll biased balls so that they stop close to a smaller ball called a  ""jack"" or ""kitty""."
bowsprit,The bowsprit of a sailing vessel is a spar extending forward from the vessel's prow.
bowstring,A bowstring joins the two ends of the bow stave and launches the arrow.
box,A box (plural: boxes) is a container used for the storage or transportation of its contents.
boxcar,A boxcar is the North American (AAR) term for a railroad car that is enclosed and generally used to carry freight.
boxing,"Boxing (also known as ""western boxing"" or ""pugilism"") is a combat sport and a martial art in which two people, usually wearing protective gloves and other protective equipment such as hand wraps and mouthguards, throw punches at each other for a predetermined amount of time in a boxing ring."
boy,A boy is a young male human.
boycott,"A boycott is an act of nonviolent, voluntary abstention from a product, person, organization, or country as an expression of protest."
boyfriend,"A boyfriend is a man who is a friend or acquaintance to the speaker, often specifying a regular male companion with whom a person is platonically, romantically or sexually involved.A boyfriend can also be called an admirer, beau, suitor and sweetheart."
boysenberry,"The boysenberry  is a cross between the European raspberry (Rubus idaeus), European blackberry (Rubus fruticosus), American dewberry (Rubus aboriginum), and loganberry (Rubus × loganobaccus).It is a large 8.0-gram (0.28 oz) aggregate fruit, with large seeds and a deep maroon color."
bra,"A bra, short for brassiere or brassière (US: , UK:  or ; French: [bʁasjɛʁ]), is a form-fitting undergarment that is primarily used to support and cover a woman's breasts."
bracelet,A bracelet is an article of jewellery that is worn around the wrist.
bracer,"A bracer (or arm-guard) is a strap or sheath, commonly made of  leather, stone or plastic, that covers the ventral (inside) surface of an archer's bow-holding arm."
brachiation,"Brachiation (from ""brachium"", Latin for ""arm""), or arm swinging, is a form of arboreal locomotion in which primates swing from tree limb to tree limb using only their arms."
brachiopod,"Brachiopods (), phylum Brachiopoda, are a phylum of trochozoan animals that have hard ""valves"" (shells) on the upper and lower surfaces, unlike the left and right arrangement in bivalve molluscs."
brachycephaly,"Brachycephaly (derived from the Ancient Greek βραχύς, 'short' and κεφαλή, 'head') is the shape of a skull shorter than average in its species."
brachydactyly,Brachydactyly (Greek βραχύς 'short' plus δάκτυλος 'finger') is a medical term which literally means 'short finger'.
bracken,"Bracken (Pteridium) is a genus of large, coarse ferns in the family Dennstaedtiaceae."
bracket,A bracket is either of two tall fore- or back-facing punctuation marks commonly used to isolate a segment of text or data from its surroundings.
bract,"In botany, a bract is a modified or specialized leaf, especially one associated with a reproductive structure such as a flower, inflorescence axis or cone scale."
bradawl,A bradawl is a woodworking hand tool with a blade similar to that of a straight screwdriver and a handle typically made from wood or plastic.
bradycardia,Bradycardia is a medical term used to describe a resting heart rate under 60 beats per minute (BPM).
brae,"""Brae"" is also the Lowland Scots language word for the slope or brow of a hill.Brae (Old Norse: Breiðeið, meaning ""the wide isthmus"") is a village on the island of Mainland in Shetland, Scotland, United Kingdom."
brahman,"In Hinduism, Brahman (Sanskrit: ब्रह्मन्) connotes the highest universal principle, the Ultimate Reality in the universe."
